Url;Size;YardSize;Price;District;Floor;TotalFloors;Type;BuildingType;Year
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164751874657523&slink=7yckx3&f1=1;32;0;61999;град София, Дианабад;5;5;1-СТАЕН;Тухла;2010
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165046119064092&slink=7yckx3&f1=1;32;0;47000;град София, Красно село;1;4;1-СТАЕН;Тухла;2016
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165043801676736&slink=7yckx3&f1=1;32;0;47000;град София, Красно село;1;6;1-СТАЕН;Тухла;2016
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164924360465835&slink=7yckx3&f1=1;32;0;36800;град София, Малинова долина;1;7;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164199285815885&slink=7yckx3&f1=1;32;0;37199;град София, Малинова долина;1;6;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164795189072841&slink=7yckx3&f1=1;32;0;37900;град София, Малинова долина;1;7;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164206248042302&slink=7yckx3&f1=1;32;0;38400;град София, Малинова долина;1;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164873078381139&slink=7yckx3&f1=1;32;0;42500;град София, Малинова долина;0;0;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164762102243603&slink=7yckx3&f1=1;32;0;43250;град София, Малинова долина;1;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164459292323122&slink=7yckx3&f1=1;32;0;44500;град София, Малинова долина;1;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165080445963548&slink=7yckx3&f1=1;32;0;76800;град София, Оборище;3;4;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163948976819359&slink=7yckx3&f1=1;32;0;82000;град София, Студентски град;2;6;1-СТАЕН;Тухла;2018
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164251805268606&slink=7yckxb&f1=1;33;0;75500;град София, Бъкстон;2;7;1-СТАЕН;Панел;1988
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164598035690294&slink=7yckxb&f1=1;33;0;45000;град София, Люлин - център;1;6;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164442134617379&slink=7yckxb&f1=1;33;0;40516;град София, Малинова долина;1;5;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164924877624646&slink=7yckxb&f1=1;33;0;80000;град София, Младост 1;3;14;1-СТАЕН;ЕПК;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164267766650287&slink=7yckxb&f1=1;33;0;36900;град София, Модерно предградие;0;0;1-СТАЕН;Панел;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164924845100300&slink=7yckxb&f1=1;33;0;80000;град София, Мусагеница;3;14;1-СТАЕН;ЕПК;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164424132286447&slink=7yckxb&f1=1;33;0;155000;град София, Оборище;1;3;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164251763102838&slink=7yckxb&f1=1;33;0;75500;град София, Павлово;2;7;1-СТАЕН;Панел;1988
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164870510253467&slink=7yckxb&f1=1;33;0;55000;град София, Център;0;0;1-СТАЕН;Тухла;1979
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b162504143437280&slink=7yckxb&f1=1;33;0;38860;град София, Люлин 6;1;8;2-СТАЕН;Панел;1985
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b163603638777583&slink=7yckxb&f1=1;33;0;155000;град София, Оборище;1;3;2-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h161562397016161&slink=7yckxb&f1=1;33;0;60000;град София, Студентски град;6;6;АТЕЛИЕ, ТАВАН;Тухла;2015
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164676493388916&slink=7yckxq&f1=1;34;0;74999;град София, Център;1;3;1-СТАЕН;Тухла;1933
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a149984202177454&slink=7yckxq&f1=1;34;0;37700;град София, Малинова долина;1;6;1-СТАЕН;Тухла;2021
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164856644215060&slink=7yckxq&f1=1;34;0;56000;град София, Надежда 1;2;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164787806723928&slink=7yckxq&f1=1;34;0;56000;град София, Надежда 1;3;6;1-СТАЕН;Тухла;2024
